sample_id,Genomic Instability,Telomere Attrition,Epigenetic Alterations,Loss of Proteostasis,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,Cellular Senescence,Stem Cell Exhaustion,Altered Intercellular Communication
S0000,-0.10722222222222223,-0.019399999999999976,-0.006800000000000012,-0.04560000000000002,0.09479999999999995,0.033,0.015200000000000045,0.01866666666666663,0.03413333333333333
S0001,-0.039555555555555545,0.047600000000000024,-0.018133333333333324,0.04239999999999998,-0.006266666666666651,-0.05575,-0.029866666666666673,0.028133333333333326,0.026133333333333324
S0002,-0.0013333333333333144,-0.05960000000000002,-0.02626666666666665,0.09573333333333335,-0.08866666666666669,-0.019125,0.02239999999999998,0.012133333333333326,0.03920000000000005
S0003,0.041,0.08639999999999998,-0.024399999999999977,0.0054666666666666405,-0.017066666666666664,-0.034625,0.024133333333333326,-0.040133333333333326,0.00946666666666664
S0004,0.056111111111111084,0.016799999999999954,-0.024399999999999977,0.017600000000000022,-0.08266666666666668,-0.11375,0.011200000000000045,-0.003600000000000023,0.06639999999999997
S0005,-0.024111111111111087,0.018600000000000023,-0.04826666666666665,0.007333333333333314,0.018133333333333324,0.053875,0.02133333333333337,0.024,0.016799999999999954
S0006,-0.020111111111111087,-0.03239999999999998,0.027066666666666718,0.014266666666666651,0.07106666666666672,0.02225,-0.03613333333333332,0.010533333333333303,-0.0972
S0007,0.06055555555555554,0.08179999999999996,-0.05533333333333332,-0.022933333333333337,0.068,0.04425,0.003866666666666674,-0.022666666666666686,-0.07866666666666669
S0008,0.06188888888888892,0.07020000000000004,0.058533333333333305,-0.022,-0.0972,-0.09575,0.012799999999999954,0.04506666666666672,0.024399999999999977
S0009,0.07344444444444445,-0.013600000000000024,-0.02946666666666664,0.013733333333333349,0.04360000000000002,0.022625,-0.06706666666666666,-0.106,-0.007466666666666641
S0010,-0.06222222222222223,-0.002600000000000023,0.038399999999999976,0.004,0.06093333333333328,0.085875,-0.040933333333333335,-0.03173333333333335,-0.09480000000000001
S0011,0.08911111111111109,-0.03439999999999998,0.006399999999999977,-0.040666666666666684,-0.023866666666666675,-0.042125,0.076,0.008666666666666685,0.024399999999999977
S0012,0.0003333333333333144,0.024799999999999954,0.040799999999999954,0.0006666666666666856,0.015466666666666696,-0.052375,-0.021866666666666673,-0.021733333333333348,0.02106666666666672
S0013,0.014888888888888913,0.026,-0.003866666666666674,-0.02,-0.02546666666666664,0.13575,0.058266666666666654,-0.05919999999999999,-0.04706666666666666
S0014,-0.08333333333333331,-0.04319999999999999,0.027866666666666675,-0.034,0.1465333333333333,0.012,-0.07439999999999998,-0.01626666666666665,0.03866666666666663
